Vuosi	Tammi	Helmi	Maalis	Huhti	Touko	Kesä	Heinä	Elo	Syys	Loka	Marras	Joulu
1999	-5.1	-6.3	-1.1	5.4	8.0	17.6	18.7	15.6	13.4	7.4	3.4	-1.2
2000	-2.2	-1.6	-0.3	5.8	10.2	13.9	17.0	15.9	10.5	9.5	5.5	2.0
2001	-1.0	-6.8	-2.7	5.0	9.7	13.8	20.2	16.4	12.8	8.7	0.9	-6.0
2002	-2.7	-0.4	0.8	5.3	11.4	16.0	19.1	19.4	11.6	1.5	-1.9	-7.1
2003	-8.6	-5.1	-1.2	2.4	9.1	13.2	20.7	16.8	12.1	4.4	3.7	0.2
2004	-5.7	-4.0	-0.5	4.9	10.3	13.3	16.6	17.3	12.8	6.8	1.1	1.1
2005	-0.1	-4.4	-5.0	4.5	10.3	14.4	19.2	16.7	13.1	8.3	4.6	-2.2
2006	-3.6	-7.9	-5.4	3.6	10.5	15.9	18.9	18.7	14.0	8.5	2.7	4.0
2007	-1.1	-7.9	3.1	5.5	10.5	15.6	17.5	17.6	11.9	7.3	1.2	2.4
2008	0.6	1.1	0.2	6.1	10.9	14.4	17.6	15.5	10.4	9.3	3.7	1.3
2009	-2.8	-3.6	-0.9	4.5	11.0	14.1	17.2	16.7	13.5	4.2	3.6	-3.6
2010	-10.4	-8.1	-1.8	4.6	11.5	14.6	21.7	18.1	12.2	6.0	-0.5	-7.5
2011	-4.4	-9.9	-1.0	5.6	9.9	16.7	20.6	17.5	13.6	8.5	5.3	3.4
2012	-3.4	-6.8	0.8	4.1	10.9	13.7	17.7	16.0	12.5	6.7	4.2	-5.3
2013	-4.9	-1.8	-5.2	3.1	12.6	17.5	18.1	17.2	12.6	7.5	4.7	2.3
2014	-5.9	0.2	2.1	5.9	10.6	13.5	20.1	17.9	13.0	6.7	3.2	0.1
2015	-0.9	0.9	2.4	5.3	9.3	13.3	16.4	17.5	13.7	6.4	5.6	3.3
2016	-8.8	0.3	0.9	4.8	13.8	15.3	17.8	16.4	13.3	5.6	0.0	0.2
2017	-1.9	-2.0	1.2	2.8	9.5	13.7	16.0	16.2	12.1	5.8	4.1	1.8
2018	-1.2	-7.0	-3.6	5.0	14.5	15.3	21.1	18.6	13.9	7.7	3.8	-0.8
2019	-4.6	0.4	0.4	6.7	10.3	17.3	17.5	17.3	12.2	6.2	2.9	2.6
2020	3.0	1.4	2.4	5.1	9.6	17.9	16.7	17.1	13.8	9.3	5.6	
